#index, case-name, seconds, spike-time, instructions, accesses, misses, evictions, relocations, remaps, predict-hit, mem-acc, mem-read, mem-write, APKI, MPKI, Reloc-PKI, reloc-rate, Remap-PGI, predict-rate, Mem-APKI
0,500.perlbench,50.0,2199550.0,205705744.0,1421831.6666666667,47913.666666666664,47913.666666666664,0.0,0.0,0.0,91538.66666666667,47916.333333333336,43622.333333333336,6.911968713263868,0.23292332890163078,0.0,0.0,0.0,0.0,0.4449981069399145
1,502.gcc,60.6,2639660.0,243017628.8,1501873.4,315013.2,315013.2,0.0,0.0,0.0,602301.4,315017.0,287284.4,6.1801006265105976,1.2962565784034181,0.0,0.0,0.0,0.0,2.478426783168415
2,503.bwaves,337.5,3002350.0,280341540.5,15652455.0,11230713.0,11230713.0,0.0,0.0,0.0,22289099.0,11230727.75,11058371.25,55.833519970259275,40.0608235938548,0.0,0.0,0.0,0.0,79.5069434242479
3,505.mcf,42.0,2199950.0,215105131.0,463850.0,161235.0,161235.0,0.0,0.0,0.0,314437.0,161238.0,153199.0,2.1563874271320844,0.7495637098493946,0.0,0.0,0.0,0.0,1.4617828897814622
4,507.cactuBSSN,85.0,3289700.0,281538824.0,1921778.0,764535.0,764535.0,0.0,0.0,0.0,1484190.0,764541.0,719649.0,6.825978643712741,2.7155579793144264,0.0,0.0,0.0,0.0,5.27170632779229
5,508.namd,31.0,2138700.0,211430084.0,48200.0,15159.0,15159.0,0.0,0.0,0.0,28069.0,15159.0,12910.0,0.22797134205366915,0.07169746004546827,0.0,0.0,0.0,0.0,0.13275783402706307
6,510.parest,50.0,3252350.0,296830567.0,2162947.0,426852.0,426852.0,0.0,0.0,0.0,811939.0,426858.0,385081.0,7.286806819999774,1.4380324921186436,0.0,0.0,0.0,0.0,2.735361820064845
7,511.povray,33.0,2199700.0,215830772.0,394453.0,37341.0,37341.0,0.0,0.0,0.0,70734.0,37341.0,33393.0,1.8276031556797656,0.17301054735605542,0.0,0.0,0.0,0.0,0.3277289857444424
8,519.lbm,219.0,2200200.0,213928268.0,13360199.0,7352700.0,7352700.0,0.0,0.0,0.0,14669354.0,7352709.0,7316645.0,62.45177004845381,34.36993188763628,0.0,0.0,0.0,0.0,68.57136804379681
9,520.omnetpp,43.0,2198100.0,210872231.0,807723.0,91760.0,91760.0,0.0,0.0,0.0,176483.0,91764.0,84719.0,3.8303905458277243,0.4351450144234496,0.0,0.0,0.0,0.0,0.8369191105110468
10,521.wrf,107.0,3300000.0,232343876.0,2923105.0,1880720.0,1880720.0,0.0,0.0,0.0,3685918.0,1880728.0,1805190.0,12.580942740233876,8.094553781137748,0.0,0.0,0.0,0.0,15.86406348837875
11,523.xalancbmk,37.0,2199500.0,211035738.0,2592073.0,84656.0,84656.0,0.0,0.0,0.0,160766.0,84660.0,76106.0,12.282625798669228,0.4011453263901681,0.0,0.0,0.0,0.0,0.7617951420152353
12,526.blender,50.0,3302500.0,288365230.0,1208363.0,442763.0,442763.0,0.0,0.0,0.0,817473.0,442769.0,374704.0,4.1903907763082255,1.5354243644422734,0.0,0.0,0.0,0.0,2.834852870437951
13,527.cam4,109.0,3299600.0,287163203.0,3288411.0,2271382.0,2271382.0,0.0,0.0,0.0,4491911.0,2271395.0,2220516.0,11.451366211429255,7.909725118924795,0.0,0.0,0.0,0.0,15.642362785596871
14,531.deepsjeng,307.0,2199800.0,218949910.0,20537779.0,11314006.0,11314007.0,0.0,0.0,0.0,22601168.0,11314018.0,11287150.0,93.80126714827149,51.673946794497425,0.0,0.0,0.0,0.0,103.22529020450385
15,538.imagick,39.0,2199850.0,213198451.0,307936.0,139415.0,139416.0,0.0,0.0,0.0,271920.0,139421.0,132499.0,1.4443632144400524,0.6539212613697648,0.0,0.0,0.0,0.0,1.2754314054561307
16,541.leela,15.0,2199450.0,218172556.0,56455.0,16759.0,16759.0,0.0,0.0,0.0,32265.0,16760.0,15505.0,0.25876306825685264,0.07681534427272328,0.0,0.0,0.0,0.0,0.14788752807204586
17,544.nab,32.0,2199950.0,212336305.0,183808.0,41771.0,41771.0,0.0,0.0,0.0,80715.0,41773.0,38942.0,0.8656456558382704,0.19672095169971052,0.0,0.0,0.0,0.0,0.38012811798717133
18,548.exchange2,22.0,2198500.0,218354505.0,10080.0,301.0,301.0,0.0,0.0,0.0,580.0,301.0,279.0,0.046163462485008036,0.0013784922825384345,0.0,0.0,0.0,0.0,0.0026562309763199067
19,549.fotonik3d,61.0,2199600.0,218551939.0,1279381.0,1135055.0,1135055.0,0.0,0.0,0.0,2246025.0,1135064.0,1110961.0,5.853899104505314,5.193525187621419,0.0,0.0,0.0,0.0,10.276847738239468
20,554.roms,237.0,3299750.0,230067388.0,12426282.0,7821504.0,7821504.0,0.0,0.0,0.0,15609943.0,7821517.0,7788426.0,54.01148814711627,33.99657842857763,0.0,0.0,0.0,0.0,67.84943809593736
21,557.xz,189.66666666666666,2199816.6666666665,211419069.0,8700348.333333334,7967046.666666667,7967046.666666667,0.0,0.0,0.0,15916172.333333334,7967051.666666667,7949120.666666667,41.1521457098713,37.683671129337284,0.0,0.0,0.0,0.0,75.28257696250348
22,average,98.035,2550844.394,233389043.650,4147696.882,2434481.842,2434481.933,0.000,0.000,0.000,4838772.791,2434487.670,2404285.120,17.794,10.407,0.000,0.000,0.000,0.000,20.696
23,geomean,66.618,2507451.356,231595563.887,1177532.333,319820.868,319820.974,0.000,0.000,0.000,619895.813,319826.494,299896.104,5.084,1.381,0.000,0.000,0.000,0.000,2.677
