#size,CEASER-S-precision,CEASER-S-recall,CEASER-S-f1,Chemeleon-precision,Chameleon-recall,Chameleon-F1,,,,,,,,
1,0,0,0,0,0,0,1,0,500,500,0,#DIV/0!,0,#DIV/0!
2,0,0,0,0,0,0,2,0,500,500,0,#DIV/0!,0,#DIV/0!
3,0,0,0,0,0,0,3,0,500,500,0,#DIV/0!,0,#DIV/0!
4,0,0,0,0,0,0,4,0,500,500,0,#DIV/0!,0,#DIV/0!
5,0,0,0,0,0,0,5,0,500,500,0,#DIV/0!,0,#DIV/0!
6,0,0,0,0,0,0,6,0,500,500,0,#DIV/0!,0,#DIV/0!
8,0,0,0,0,0,0,8,0,500,500,0,#DIV/0!,0,#DIV/0!
10,0,0,0,0,0,0,10,0,500,499,1,0,0,#DIV/0!
12,0,0,0,1,0.006,0.0119284294234592,12,3,497,500,0,1,0.006,0.0119284294234592
14,1,0.015,0.0295566502463054,0.555555555555556,0.01,0.0196463654223969,14,5,495,496,4,0.555555555555556,0.01,0.0196463654223969
16,1,0.1,0.181818181818182,0.580645161290323,0.036,0.0677966101694915,16,18,482,487,13,0.580645161290323,0.036,0.0677966101694915
19,1,0.07,0.130841121495327,0.507462686567164,0.068,0.119929453262787,19,34,466,467,33,0.507462686567164,0.068,0.119929453262787
22,1,0.195,0.326359832635983,0.432098765432099,0.07,0.120481927710843,22,35,465,454,46,0.432098765432099,0.07,0.120481927710843
26,1,0.35,0.518518518518518,0.53448275862069,0.124,0.201298701298701,26,62,438,446,54,0.53448275862069,0.124,0.201298701298701
30,1,0.505,0.67109634551495,0.518518518518518,0.14,0.220472440944882,30,70,430,435,65,0.518518518518518,0.14,0.220472440944882
35,1,0.665,0.798798798798799,0.488721804511278,0.13,0.205371248025276,35,65,435,432,68,0.488721804511278,0.13,0.205371248025276
41,1,0.83,0.907103825136612,0.510309278350515,0.198,0.285302593659942,41,99,401,405,95,0.510309278350515,0.198,0.285302593659942
48,1,0.92,0.958333333333333,0.523364485981308,0.224,0.313725490196078,48,112,388,398,102,0.523364485981308,0.224,0.313725490196078
57,1,0.995,0.99749373433584,0.531380753138075,0.254,0.343707713125846,57,127,373,388,112,0.531380753138075,0.254,0.343707713125846
67,1,1,1,0.506493506493506,0.234,0.320109439124487,67,117,383,386,114,0.506493506493506,0.234,0.320109439124487
79,1,1,1,0.481781376518219,0.238,0.318607764390897,79,119,381,372,128,0.481781376518219,0.238,0.318607764390897
93,1,1,1,0.518518518518518,0.252,0.339165545087483,93,126,374,383,117,0.518518518518518,0.252,0.339165545087483
110,1,1,1,0.490196078431373,0.25,0.331125827814569,110,125,375,370,130,0.490196078431373,0.25,0.331125827814569
130,1,1,1,0.523605150214592,0.244,0.332878581173261,130,122,378,389,111,0.523605150214592,0.244,0.332878581173261
154,1,1,1,0.494117647058824,0.252,0.333774834437086,154,126,374,371,129,0.494117647058824,0.252,0.333774834437086
183,1,1,1,0.462450592885376,0.234,0.310756972111554,183,117,383,364,136,0.462450592885376,0.234,0.310756972111554
217,0.985221674876847,1,0.992555831265509,0.477099236641221,0.25,0.328083989501312,217,125,375,363,137,0.477099236641221,0.25,0.328083989501312
258,0.956937799043062,1,0.97799511002445,0.547892720306513,0.286,0.375821287779238,258,143,357,382,118,0.547892720306513,0.286,0.375821287779238
306,0.888888888888889,1,0.941176470588235,0.505703422053232,0.266,0.348623853211009,306,133,367,370,130,0.505703422053232,0.266,0.348623853211009
363,0.829875518672199,1,0.90702947845805,0.535398230088496,0.242,0.333333333333333,363,121,379,395,105,0.535398230088496,0.242,0.333333333333333
431,0.704225352112676,1,0.826446280991735,0.525490196078431,0.268,0.354966887417219,431,134,366,379,121,0.525490196078431,0.268,0.354966887417219
512,0.574712643678161,1,0.72992700729927,0.495833333333333,0.238,0.321621621621622,512,119,381,379,121,0.495833333333333,0.238,0.321621621621622
