120417700,29,120722256,9,8212205,13,31835569,4
121445549,32,121760976,12,8333710,14,32105909,4
122400951,34,122910435,14,8352086,14,32376431,1
123413455,37,123916057,17,8386788,4,32646341,1
124417790,40,125062258,20,8402399,4,32916554,2
125487000,43,126127710,23,8418611,4,33186998,3
126578609,46,127193500,26,8435148,4,33457641,4
127677009,49,128160490,7,8451754,4,33725403,2
128760059,51,128935899,10,8471638,4,33994402,2
129877065,54,129903020,12,8495541,4,34264406,3
130876136,20,130944625,15,8533305,4,34534624,4
131886096,19,131873888,18,8558012,4,34805180,4
132883541,4,132928555,20,8620633,4,35075834,4
133868218,7,133970248,23,8642206,4,35346114,4
134831561,9,135105529,26,8664508,4,35612834,2
135803107,12,136133185,28,8690926,4,35881240,2
136790658,15,137169612,31,8752739,4,36151621,3
137851390,17,138230312,33,8853620,5,36422499,4
138798483,20,139274733,36,8945374,5,36692814,4
139785470,22,140295515,39,8977898,5,36963175,6
140797722,25,141287760,41,9081320,5,37233578,4
141810115,28,142322479,44,9176743,5,37504304,4
142907284,31,143315607,12,9248549,5,37775130,1
143944753,33,144238712,15,9265958,5,38045155,1
144994987,36,145288591,18,9360046,6,38315646,2
146061285,39,146348876,21,9386307,6,38586727,3
147130106,42,147420231,24,9496763,7,38857717,0
148142472,44,148456565,27,9537336,7,39128292,1
149203121,46,149516267,30,9641202,8,39399023,1
150185704,7,150542101,32,9749917,8,39669259,3
151242028,9,151583101,34,9836313,9,39939400,4
152282523,11,152624043,36,9861715,9,40209841,4
153315275,14,153589093,38,9951441,9,40479938,1
154276708,16,154533432,5,10059271,10,40750229,2
155280881,18,155431314,7,10078861,10,41020568,1
156157184,4,156541582,9,10128003,10,41291060,1
157273127,6,157606617,12,10223793,11,41560688,1
158354247,9,158707854,15,10290468,11,41830690,1
159380758,12,159744759,17,10393709,12,42100834,1
160471841,15,160725512,20,10415036,12,42368568,3
161619747,18,161683190,23,10455847,12,42637203,3
162688725,21,162769070,12,10573832,13,42907393,4
163724694,23,163865306,6,10662229,13,43177990,4
164762703,25,164796404,9,10689784,13,43448674,4
165764755,28,165832500,11,10728840,13,43718619,5
166708831,30,166895213,14,10759755,13,43988846,6
167784881,33,167863100,16,10777665,13,44256228,4
168885395,34,168985999,19,10808515,13,44524729,4
169842777,37,170026531,21,10857600,13,44794243,3
170918632,39,171080799,24,10881336,13,45064243,5
171853792,26,172153862,26,10971135,14,45334768,5
172873936,12,173187795,28,11011078,14,45605340,7
173887971,15,174143390,31,11058388,14,45875948,6
174963477,18,175112323,9,11088151,14,46145314,7
176022420,21,176172324,11,11212213,15,46415672,4
177003096,23,177248023,14,11247485,15,46686053,4
178056129,26,178275780,17,11264933,15,46956807,4
179033940,11,179302877,20,11389115,16,47227023,4
179967260,14,180300315,23,11422522,16,47496848,6
180922551,17,181315636,26,11547475,17,47765469,4
181854178,19,182306097,28,11565755,11,48034239,5
182826393,22,183418938,31,11600023,11,48304330,1
183778484,25,184404393,33,11618498,11,48574810,2
184812309,27,185395320,22,11707034,11,48845297,3
185845177,29,186458236,10,11828597,12,49115726,3
186980371,32,187605538,13,11862806,6,49385292,1
188066026,35,188740794,15,11878414,6,49656082,1
189199758,38,189695537,17,11894843,6,49926212,1
190273708,41,190750785,20,11913425,6,50196369,2
191335435,44,191766345,23,11930408,6,50466413,2
192486181,47,192729888,26,11952549,6,50736563,3
193597176,50,193689183,29,12062638,7,51007161,2
194640871,13,194698174,32,12090075,8,51277693,3
195527621,16,195800114,35,12169599,8,51547852,2
196525167,19,196788167,38,12188549,8,51818297,3
197465759,22,197805361,41,12260735,8,52088612,3
198524489,25,198880454,43,12299565,8,52359443,3
199570391,28,199853695,14,12387918,8,52630596,2
200529458,31,200870384,17,12419081,8,52900975,3
201607187,22,201953924,20,12438318,8,53171064,3
202555238,9,203052104,23,12524400,8,53441105,3
203596318,12,204003383,26,12649907,9,53711739,3
204651489,14,205031179,29,12696247,9,53982718,3
205775187,17,205978697,2,12781495,9,54252960,2
206780794,20,206996431,4,12886782,10,54523795,3
207835737,22,207993008,7,12987751,11,54794384,2
208815274,24,209009999,10,13085319,12,55064836,2
209788900,26,209801646,12,13118261,12,55335269,2
210834990,28,210814036,15,13193047,12,55605798,2
211844275,30,211833704,17,13265071,12,55875912,0
212944073,33,212868836,20,13388637,13,56147305,2
213935447,36,213934332,23,13509856,14,56417994,2
214969638,8,214906127,26,13532811,14,56688686,3
216000272,10,215949789,29,13561226,14,56959378,3
217030399,13,216989082,32,13656033,14,57229792,4
218092809,16,218080683,35,13764910,14,57500437,2
219198442,19,219087450,38,13788225,14,57770972,4
220153175,22,220056249,10,13894973,15,58041249,2
221130224,24,221051561,13,13990300,16,58311931,4
222193893,27,222055611,16,14057191,16,58582652,4
223151247,4,223046307,19,14138021,16,58853002,4
224201723,7,223940764,20,14253129,17,59123048,3
225237858,10,224666849,23,14275193,17,59393354,3
226330925,13,225781528,24,14296424,17,59663931,0
227381902,15,226779694,26,14416758,18,59934375,1
228403813,18,227767271,20,14481386,18,60204244,1
229457513,21,228737314,8,14588033,19,60474391,3
230485253,24,229751862,10,14650997,19,60744340,4
231460380,26,230842779,13,14752261,20,61013065,3
232482180,28,231939079,16,14788436,20,61282391,3
233508365,30,232991494,19,14805443,20,61552135,4
234612674,33,234002674,22,14893915,20,61822590,4
235604082,35,234996111,24,14969668,20,62093213,4
236677210,37,236061879,27,15083380,21,62363774,4
237684097,39,237059687,28,15124156,21,62633951,4
238717220,10,238080249,31,15248688,22,62904510,5
239709995,12,239174656,33,15322149,11,63174277,2
240720976,15,240394070,36,15423942,12,63444656,3
241755965,18,241591756,38,15543306,13,63714755,3
242812832,5,242629902,40,15564251,5,63985186,3
243848637,7,243714384,43,15579824,5,64254997,2
244901857,9,244433299,14,15596086,5,64524985,2
245882124,11,245521190,16,15612452,5,64795141,1
246971789,13,246611265,19,15629228,5,65065528,2
247940250,16,247658175,21,15659954,5,65335050,4
249060489,18,248674918,24,15703144,5,65605112,4
250149773,21,249699135,17,15733879,5,65875571,5
251117507,24,250704021,7,15757419,5,66143784,2
252087204,27,251699892,10,15810899,5,66412360,3
253034972,29,252762493,12,15900253,5,66681755,1
254092338,30,253808037,13,15984450,5,66952498,3
255229218,33,254834760,15,16013754,5,67223447,3
256235525,35,255857708,17,16048732,5,67493987,3
257250150,38,257030823,20,16114254,5,67764711,3
258314042,41,258083771,23,16151192,5,68035045,4
