BallThrows,Spill,Reloc,Spill+Reloc
2000,0.0,0.0,0.0
5000,0.0,0.0,0.0
10000,0.0,0.0,0.0
20000,0.01,0.0,0.01
30000,0.0,0.0,0.0
40000,0.0,0.0,0.0
50000,0.0,0.0,0.0
60000,0.05,0.01,0.06
80000,0.24,0.16,0.4
100000,0.58,0.4,0.98
110000,0.62,0.38,1.0
