warm up finished
test 0: 0 use 545816 random addresses, collected 0 cloc addrs
test 1: 0 use 64609 random addresses, collected 0 cloc addrs
test 2: 0 use 349135 random addresses, collected 0 cloc addrs
test 3: 0 use 64744 random addresses, collected 0 cloc addrs
test 4: 0 use 63275 random addresses, collected 0 cloc addrs
test 5: 0 use 334969 random addresses, collected 0 cloc addrs
test 6: 0 use 57579 random addresses, collected 0 cloc addrs
test 7: 0 use 92615 random addresses, collected 0 cloc addrs
test 8: 0 use 441468 random addresses, collected 0 cloc addrs
test 9: 0 use 79468 random addresses, collected 0 cloc addrs
test 10: 0 use 157550 random addresses, collected 0 cloc addrs
test 11: 0 use 142705 random addresses, collected 0 cloc addrs
test 12: 0 use 900410 random addresses, collected 0 cloc addrs
test 13: 0 use 718824 random addresses, collected 0 cloc addrs
test 14: 0 use 13894 random addresses, collected 0 cloc addrs
test 15: 0 use 265311 random addresses, collected 0 cloc addrs
test 16: 0 use 84452 random addresses, collected 0 cloc addrs
test 17: 0 use 76148 random addresses, collected 0 cloc addrs
test 18: 0 use 239577 random addresses, collected 0 cloc addrs
test 19: 0 use 109653 random addresses, collected 0 cloc addrs
success rate: 0 using 240111 evictions.
