warm up finished
test 0: 0 use 130747 random addresses, collected 0 cloc addrs
test 1: 0 use 296295 random addresses, collected 0 cloc addrs
test 2: 0 use 438205 random addresses, collected 0 cloc addrs
test 3: 0 use 503076 random addresses, collected 0 cloc addrs
test 4: 0 use 593817 random addresses, collected 0 cloc addrs
test 5: 0 use 107541 random addresses, collected 0 cloc addrs
test 6: 0 use 22002 random addresses, collected 0 cloc addrs
test 7: 0 use 86742 random addresses, collected 0 cloc addrs
test 8: 0 use 85648 random addresses, collected 0 cloc addrs
test 9: 0 use 153042 random addresses, collected 0 cloc addrs
test 10: 0 use 18478 random addresses, collected 0 cloc addrs
test 11: 0 use 436473 random addresses, collected 0 cloc addrs
test 12: 0 use 98774 random addresses, collected 0 cloc addrs
test 13: 0 use 257781 random addresses, collected 0 cloc addrs
test 14: 0 use 287298 random addresses, collected 0 cloc addrs
test 15: 0 use 29812 random addresses, collected 0 cloc addrs
test 16: 0 use 53870 random addresses, collected 0 cloc addrs
test 17: 0 use 320535 random addresses, collected 0 cloc addrs
test 18: 0 use 3671 random addresses, collected 0 cloc addrs
test 19: 0 use 8542 random addresses, collected 0 cloc addrs
success rate: 0 using 406033 evictions.
