warm up finished
test 0: 0 use 81007 random addresses, collected 0 cloc addr
test 1: 0 use 81618 random addresses, collected 0 cloc addr
test 2: 0 use 81205 random addresses, collected 0 cloc addr
test 3: 0 use 81376 random addresses, collected 0 cloc addr
test 4: 0 use 81163 random addresses, collected 0 cloc addr
test 5: 0 use 81597 random addresses, collected 0 cloc addr
test 6: 0 use 81073 random addresses, collected 0 cloc addr
test 7: 0 use 81271 random addresses, collected 0 cloc addr
test 8: 0 use 81372 random addresses, collected 0 cloc addr
test 9: 0 use 81184 random addresses, collected 0 cloc addr
test 10: 0 use 80832 random addresses, collected 0 cloc addr
test 11: 0 use 81406 random addresses, collected 0 cloc addr
test 12: 0 use 81409 random addresses, collected 0 cloc addr
test 13: 0 use 81320 random addresses, collected 0 cloc addr
test 14: 0 use 81502 random addresses, collected 0 cloc addr
test 15: 0 use 81392 random addresses, collected 0 cloc addr
test 16: 0 use 81483 random addresses, collected 0 cloc addr
test 17: 0 use 81356 random addresses, collected 0 cloc addr
test 18: 0 use 81356 random addresses, collected 0 cloc addr
test 19: 0 use 81229 random addresses, collected 0 cloc addr
success rate: 0 using 469196 evictions.
