warm up finished
test 0: 0 use 29473 random addresses, collected 0 cloc addrs
test 1: 0 use 169070 random addresses, collected 0 cloc addrs
test 2: 0 use 261417 random addresses, collected 0 cloc addrs
test 3: 0 use 191912 random addresses, collected 0 cloc addrs
test 4: 0 use 122585 random addresses, collected 0 cloc addrs
test 5: 0 use 94873 random addresses, collected 0 cloc addrs
test 6: 0 use 122461 random addresses, collected 0 cloc addrs
test 7: 0 use 573273 random addresses, collected 0 cloc addrs
test 8: 0 use 110166 random addresses, collected 0 cloc addrs
test 9: 0 use 18618 random addresses, collected 0 cloc addrs
test 10: 0 use 109077 random addresses, collected 0 cloc addrs
test 11: 0 use 4380 random addresses, collected 0 cloc addrs
test 12: 0 use 155612 random addresses, collected 0 cloc addrs
test 13: 0 use 669265 random addresses, collected 0 cloc addrs
test 14: 0 use 20710 random addresses, collected 0 cloc addrs
test 15: 0 use 14065 random addresses, collected 0 cloc addrs
test 16: 0 use 188104 random addresses, collected 0 cloc addrs
test 17: 0 use 288795 random addresses, collected 0 cloc addrs
test 18: 0 use 42693 random addresses, collected 0 cloc addrs
test 19: 0 use 364915 random addresses, collected 0 cloc addrs
success rate: 0 using 177574 evictions.
